"","habitat","irrigation","drought_tolerance","marker_gene"
"1016-1-14-3","rhizosphere","full","HI30","16S"
"1016-2-16-75","rhizosphere","full","HI30","16S"
"1016-3-6-42","rhizosphere","reduced","HI30","16S"
"1016-4-21-30","rhizosphere","reduced","HI30","16S"
"1024-1-12-41","rhizosphere","full","LO30","16S"
"1024-2-7-47","rhizosphere","full","LO30","16S"
"1024-3-6-28","rhizosphere","reduced","LO30","16S"
"1036-1-15-46","rhizosphere","full","HI30","16S"
"1036-2-5-50","rhizosphere","full","HI30","16S"
"1036-3-6-23","rhizosphere","reduced","HI30","16S"
"1036-4-17-36","rhizosphere","reduced","HI30","16S"
"1171-1-9-28","rhizosphere","full","LO30","16S"
"1171-2-9-48","rhizosphere","full","LO30","16S"
"1171-3-10-11","rhizosphere","reduced","LO30","16S"
"1171-4-24-11","rhizosphere","reduced","LO30","16S"
"207-1-22-14","rhizosphere","full","LO30","16S"
"207-2-20-49","rhizosphere","full","LO30","16S"
"207-3-8-36","rhizosphere","reduced","LO30","16S"
"207-4-24-26","rhizosphere","reduced","LO30","16S"
"368-1-18-24","rhizosphere","full","LO30","16S"
"368-2-20-50","rhizosphere","full","LO30","16S"
"368-3-11-19","rhizosphere","reduced","LO30","16S"
"368-4-24-29","rhizosphere","reduced","LO30","16S"
"422-1-23-44","rhizosphere","full","HI30","16S"
"422-2-24-78","rhizosphere","full","HI30","16S"
"422-3-11-6","rhizosphere","reduced","HI30","16S"
"422-4-24-12","rhizosphere","reduced","HI30","16S"
"56-1-9-13","rhizosphere","full","HI30","16S"
"56-2-8-73","rhizosphere","full","HI30","16S"
"56-3-8-6","rhizosphere","reduced","HI30","16S"
"56-4-25-9","rhizosphere","reduced","HI30","16S"
"819-1-22-16","rhizosphere","full","HI30","16S"
"819-2-23-73","rhizosphere","full","HI30","16S"
"819-3-8-27","rhizosphere","reduced","HI30","16S"
"819-4-24-42","rhizosphere","reduced","HI30","16S"
"GW9577-1-16-38","rhizosphere","full","HI30","16S"
"GW9577-2-21-66","rhizosphere","full","HI30","16S"
"GW9577-3-8-46","rhizosphere","reduced","HI30","16S"
"GW9577-4-23-5","rhizosphere","reduced","HI30","16S"
"GW9583-1-17-20","rhizosphere","full","LO30","16S"
"GW9583-2-22-88","rhizosphere","full","LO30","16S"
"GW9583-3-5-37","rhizosphere","reduced","LO30","16S"
"GW9583-4-24-30","rhizosphere","reduced","LO30","16S"
"GW9589-1-16-11","rhizosphere","full","HI30","16S"
"GW9589-2-11-71","rhizosphere","full","HI30","16S"
"GW9589-4-21-7","rhizosphere","reduced","HI30","16S"
"GW9861-1-14-4","rhizosphere","full","HI30","16S"
"GW9861-2-14-80","rhizosphere","full","HI30","16S"
"GW9861-4-15-8","rhizosphere","reduced","HI30","16S"
"GW9861-4-17-18","rhizosphere","reduced","HI30","16S"
"GW9950-1-5-46","rhizosphere","full","LO30","16S"
"GW9950-2-9-54","rhizosphere","full","LO30","16S"
"GW9950-3-10-21","rhizosphere","reduced","LO30","16S"
"GW9950-4-16-42","rhizosphere","reduced","LO30","16S"
"GW9953-1-21-20","rhizosphere","full","LO30","16S"
"GW9953-2-21-49","rhizosphere","full","LO30","16S"
"GW9953-3-12-42","rhizosphere","reduced","LO30","16S"
"GW9953-4-27-30","rhizosphere","reduced","LO30","16S"
"GW9964-1-4-3","rhizosphere","full","LO30","16S"
"GW9964-2-6-50","rhizosphere","full","LO30","16S"
"GW9964-3-10-16","rhizosphere","reduced","LO30","16S"
"GW9964-4-25-10","rhizosphere","reduced","LO30","16S"
